Remove,Insert
braedon,braden => 14 | brandon => 1 | brave in => 1 | brave => 1 | bredon => 2 | b => 6 | briant => 2 | radon => 3 | braiden => 1
daniel,danial => 9 | d => 11 | denial => 10 | dainel => 1
their,the => 21
had,has => 11 | have => 7 | head => 2
tale,tail => 17 | tales => 2
meant,means => 12 | mens => 2 | mean => 4 | mwans => 1
the,a => 10 | their => 2 | in => 2 | these => 1 | be => 1 | to => 1 | they => 1 | that => 1
numbers,number => 16
learned,learns => 4 | learn => 7 | learnt => 3
its,it => 6 | it is => 5 | his => 1
helped,help => 12
were,we are => 4 | or => 1 | was => 7
yet,yes => 11
braedons,bradens => 2 | s => 1 | braden => 2 | breadon => 1 | bs => 1 | briant => 1 | ds => 1 | braedon => 1 | radons => 1
lists,list => 10 | lst => 1
insights,inside => 6 | insight deep english com => 1 | insides => 1 | insight the dolphin with the inspiring tail => 1 | inside the dolphin with the inspiring fall => 1 | name deep english com => 1
line,life => 7 | live => 1 | light => 2 | lines => 1
plight,ply => 4 | life => 5 | plite => 1 | flight => 1
two,2 => 9 | too => 1
and,in => 5 | on => 1 | an => 1 | anfd => 1 | abd => 1 | dollar in => 1
tammet,thomas => 3 | tablet => 1 | temish => 1 | temous => 1 | tamet => 1 | tamil => 1 | thames => 1
evolve,involve => 9
played,play => 9
determined,determine => 7 | determent => 1 | determind => 1
remembers,remembered => 8 | remember => 1
daniels,danial => 2 | daniel => 3 | ds => 2 | denials => 2
crab,crap => 7 | craft => 2
winter,w => 8 | writer => 1
shimmering,swimmering => 1 | simmering => 1 | summary => 1 | summering => 1 | similarly => 2 | similaring => 1 | shumering => 1
wounds,world => 2 | win => 1 | wound => 1 | will => 1 | goons => 1 | quomes => 1 | woulds => 1
synesthesia,scenes shiner => 2 | sinuous easier => 1 | sadness => 1 | sthesia => 1 | senist deseaer => 1 | senistizia => 1 | seneusegia => 1
mastered,master => 7 | masters => 1
tools,tool => 7 | 2 => 1
makes,make => 8
an,not => 2 | the => 5 | a => 1
millions,million => 8
puzzle,push => 1 | puzzles => 2 | bar zone => 1 | puzzled => 2 | posal => 1
adopt,adapt => 5 | adopts => 1 | adopted => 1
flesh,flat => 1 | flash => 6
called,calls => 2 | hold => 1 | call => 4
inspired,inspires => 3 | and  => 1 | inspire => 3
injuries were,injury was => 5 | engery was => 1 | energy was => 1
exhaustive,exhausted => 7
28th,28 => 6 | 2008 => 1
prostheses,porosities => 2 | recipes => 1 | disability => 1 | pasticy => 1 | practices => 1 | prostices => 1
starts,start => 7
thought,far => 1 | though => 2 | fought => 1 | fast => 1 | for => 1 | bought => 1
monthony,mountainy => 1 | monthly => 1 | marthony => 2 | monthoni => 1 | manfeny => 1 | montany => 1
was,with => 2 | is the => 1 | would => 1 | is => 2 | war => 1
my sails,myself => 5 | must sa => 1 | mast => 1
call,called => 7
ten,10 => 5 | 11 => 1 | can => 1
hatched,hated => 1 | had => 2 | hatch => 3
vowel,voquel => 1 | vowels => 4 | vower => 1
lagoon,lagun => 1 | logon => 2 | lagoo => 2 | lagon => 1
marine,marina => 4 | inspiring => 1 | megrim => 1
said,says => 5 | add => 1
image rich,imagines => 2 | in the reach => 1 | imagery => 1 | of => 1 | imagest => 1
his,this => 2 | to => 1 | is => 1 | he => 2
has since,had such => 1 | had => 2 | had sent => 1 | had been => 1 | had a sense of => 1
neurologists,neuroscientist => 1 | neurologist => 2 | no => 1 | neurological => 1 | nologoist => 1
hatched a,had the => 2 | hatch the => 2 | had to => 1 | hatch to => 1
mammals,mammal => 4 | males => 1 | memo => 1
difference,different => 5 | diference => 1
words,word => 5 | worlds => 1
are,all => 3 | or => 1 | on => 1
year,years => 5
swims,swim => 5
dolphins,often => 3 | dolphin => 2
die,dye => 2 | died => 3
cannot,can => 5
identified,identify => 4 | indentified => 1
shapes,shape => 5
to,the => 2 | today in => 1 | her => 2
besides,but shine => 1 | preside => 1 | beside => 3
record,break of => 1 | reckless => 1 | reckon => 1 | regular => 1 | rocket => 1
winters,winter => 3 | ws => 2
pattern,appearance => 1 | patent => 1 | pa => 1 | pardon => 1 | paren => 1
language,languages => 4 | language english => 1
strength of,strengthful => 1 | strengthen => 3 | strangeful => 1
multiply,multiplying => 1 | multiple => 2 | mop of line => 1 | multiplied => 1
emerges,emergency => 1 | emergent => 1 | in loges => 1 | inlargens => 1 | in  => 1
six,6 => 5
felt,fought => 1 | found => 3 | fell => 1
languages,language => 4 | language it => 1
english,el => 3 | e => 2
faintest,fantastic => 2 | fainted => 1 | finger => 1
manti,mantin => 1 | mentee => 1 | monkey => 1 | m => 1
entangled,entance => 1 | a  => 2 | intangeled => 1
shoemaker,shoesmaker => 2 | maker => 1 | sumaker => 1
can,cannot => 4
4 000,four thousand dollars => 4
others,other => 4
they,this => 1 | a => 1 | there => 2
cabbage,carpet => 2 | garbage => 1 | kabage => 1
claims,explains => 1 | claimed => 2 | claim => 1
wind,winter => 1 | win => 2 | will => 1
lives,leaves => 1 | live => 3
saw,solved => 1 | song => 1 | was => 1 | salt => 1
for,of => 1 | to => 2 | from => 1
trials,trial => 3 | child => 1
supply,of life => 2 | supplies => 1 | of line => 1
lines,life => 2 | line => 2
rich,written => 1 | reach => 2 | rate => 1
german,germany => 2 | g => 1 | germen => 1
loves,love => 3 | lovers => 1
sounds,sound => 4
her,his => 2 | the => 1 | he => 1
changed,change => 4
has,have => 2 | had => 2
savant,sevolt => 1 | servant => 1 | survive => 1
cape,cable => 1 | cave => 2
amputee,amputy => 1 | amputte => 1 | imputies => 1
four,4 => 3
sounded,sound it => 2 | sounds it => 1
gobble,garble => 2 | gamble => 1
used,uses => 3
tail,tails => 2 | tabe => 1
my sails to,myself => 3
language of,languages => 3
explained,explains => 2 | explain => 1
pointy,pointed => 1 | pointe => 1 | pointing => 1
german as,germane => 1 | germanous => 1 | ger => 1
aing,theing => 2 | ting => 1
viral,virulent => 2 | violent => 1
blood supply,flush of life => 1 | bloods of line => 1 | bloods of  => 1
recovery,reach capri => 1 | recover => 1 | cover => 1
sold lemonade,show the laminate => 1 | solve => 1 | saw laminate => 1
attempt,i tent => 1 | attend => 1 | it is time => 1
friends,friend => 3
viral infection,violent faction => 1 | virulence faction => 1 | violent affection => 1
despite,the  => 1 | dispipe => 1 | the => 1
efforts they,effort => 2 | efforthe => 1
where,we are => 1 | when => 2
cupboard,hubbard => 1 | cobber => 1 | cabet => 1
make,makes => 3
life,son => 1 | live => 2
odds,adds => 1 | odd => 1 | ask => 1
counting,accounting => 2 | countant => 1
efforts,effort => 2 | efford => 1
