Lyric,Correct (0),Insert (1),Missing (-1)
' i love you ,,,Y
' i love you hello im ,Y,,
'kaftan,,,Y
'catherine,,Y,
' hello im rob we both started with what is probably the best known greeting in english and ,Y,,
'when is,,,Y
'one of,,Y,
' the first w,Y,,
'ith,,,Y
'ords,,Y,
' english language ,Y,,
'using,,,Y
'students,,Y,
' learn and that is hello so today in 6 minute,Y,,
's,,,Y
' english we,Y,,
're,,Y,
' dig,Y,,
' ,,,Y
'g,,Y,
'in,Y,,
'g,,Y,
' a little deeper into the wor,Y,,
'l,,Y,
'd ,Y,,
'a,,,Y
'of,,Y,
' greeting,Y,,
's,,Y,
' and ,Y,,
'a,,,Y
'the,,Y,
' fascinating history of hello surprisingly the word hello i,Y,,
't,,,Y
's not ,Y,,
'it,,,Y
'a,,Y,
's old ,Y,,
'do,,,Y
'as,,Y,
' you mi,Y,,
'nd,,,Y
'ght,,Y,
' think but when d,Y,,
'o they it the,,,Y
'id it,,Y,
' first appear,Y,,
's,,,Y
' in ,Y,,
's,,,Y
'prin,Y,,
'g,,,Y
't,,Y,
' in english was it a ,Y,,
'in the ,,Y,
'1890s b ,Y,,
'the ,,Y,
'1950s or c ,Y,,
'the ,,Y,
'1820s w,Y,,
'hat,,,Y
'ell,,Y,
' i think english changes ,Y,,
'ver,,,Y
'reall,,Y,
'y quickly so i,Y,,
' would,,,Y
'm going,,Y,
' to say b the 1950s ,Y,,
'i,,,Y
'and,,Y,
' w,Y,,
'i,,,Y
'e,,Y,
'll say hello again to hello a little later ,Y,,
'w,,,Y
'i,Y,,
'n ,,Y,
'th,Y,,
'e,,Y,
' program,Y,,
'me,,Y,
' first greeting,Y,,
's,,Y,
' they can be a bit of ,Y,,
'the,,,Y
'a,,Y,
' minefield ,Y,,
'a ,,Y,
'subject f,Y,,
'o,,,Y
'u,,Y,
'll,Y,,
'ow,,,Y
' of,,Y,
' unpredictable difficulties ,Y,,
'while in ,,Y,
'many places a handshake or bow is normal th,Y,,
'at,,,Y
'eres,,Y,
' also the tricky question of kisses and hugs ,Y,,
'coul,,,Y
'awkwar,,Y,
'd should ,Y,,
'do,,,Y
'you,,Y,
' kiss how many times and should you,Y,,
'r,,Y,
' lip,Y,,
's,,Y,
' touch their ch,Y,,
'ic,,,Y
'ee,,Y,
'k no,Y,,
' ,,Y,
'rob definitely an air kiss close to the ch,Y,,
'ic,,,Y
'ee,,Y,
'k but dont touch much safe,Y,,
' fa,,,Y
'r greeting,Y,,
' of a,,,Y
's are the,,Y,
' subject ,Y,,
'in,,,Y
'of,,Y,
' a new book b,Y,,
'u,,,Y
'y form,Y,,
'al pro,,,Y
'er bri,,Y,
'tis,Y,,
't,,,Y
'h,,Y,
' diplomat and,Y,,
' the,,,Y
'y,,Y,
' sco,Y,,
're,,,Y
'tt,,Y,
' call,Y,,
' 1,,,Y
